Epoch,"Config 1: d,w,nan","Config 2: d,w","Config 3: d,nan",Config 4: d
1,93.49,94.21,93.96,94.51
2,95.28,95.86,95.17,96.14
3,96.6,96.65,96.9,96.49
4,97.16,97.38,96.98,97.3
5,97.19,97.26,96.59,97.52
6,97.19,97.7,97.59,97.03
7,97.25,97.43,97.56,97.64
8,97.6,97.12,97.44,97.46
9,97.22,97.73,97.6,97.68
10,97.57,97.74,98.07,97.82
